log;nome;cnpj;status;endereco;cidade;estado;anotacao;telefone;email;instagram;site;decisor;telefone_decisor;marcadores;mesorregiao;
;FAYCE COSMETICOS LTDA;00.549.442/0001-91;Descoberto;RUA VISCONDE DE INHAUMA, 655 - NOVA GERTY - SÃO CAETANO DO SUL/SP 09571-390;;SP;TRIO;11984964557;faycecosmeticos@uol.com.br;https://www.instagram.com/faycecosmeticos/;NÃO TEM ;ROSELI OU ROSANA;+55 (11) 4238-4451;13;Metropolitada São Paulo;
;GARRAS DE VELUDO;31.524.961/0001-29;Descoberto;AVENIDA BENEDITO ALVES TURIBIO, 455 - PADROEIRA - OSASCO/SP 06160-000;;SP;UNHAS ;(11) 96197-2606;alexmvidal@gmail.com;https://www.instagram.com/garrasdeveludo;NÃO TEM ;ALEXANDRO;(11) 97312-1744;13;Metropolitada São Paulo;
;AMOR BELEZA COMERCIO DE VARIEDADES LTDA;29.077.745/0001-30;Descoberto;AVENIDA ALVARO GUIMARAES, 439 - PLANALTO - SÃO BERNARDO DO CAMPO/SP 09890-001;;SP;trio;11961797559;raquelgommes@hotmail.com;https://www.instagram.com/amorbeleza.com.br/;https://www.amorbeleza.com.br/?fbclid=IwAR16A5e4KVxsWS0BikU2gShb12FK1TYMFcZEBQrdoae3ABNc54hrTtgyZro;maria;(11) 94513-4771;13;Metropolitada São Paulo;
;TUDO DE MAQUIAGEM;16.593.599/0001-54;Descoberto;RUA OSVALDO CRUZ, 141 - SANTA PAULA - SÃO CAETANO DO SUL/SP 09541-270;;SP;cilios ;(11) 97968-0900;marcia.gascon@gmail.com;https://www.instagram.com/tudodemaquiagem/;https://www.tudodemaquiagem.com.br/;marcia;(48) 99860-3355;13;Metropolitada São Paulo;
;HENY BEAUTY COSMETICOS LTDA;31.365.107/0001-67;Descoberto;RUA MANOEL COELHO, 303 - CENTRO - SÃO CAETANO DO SUL/SP 09510-110;;SP;trio;11971000718;henybeauty@hotmail.com;https://www.instagram.com/henybeautycosmeticos/;não tem ;rodrigo;(11) 97100-0718;13;Metropolitada São Paulo;
;SANSEI COSMETICOS;35.955.159/0001-44;Descoberto;AVENIDA DOM PEDRO I, 1060 - VILA PIRES - SANTO ANDRÉ/SP 09130-012;;SP;trio;1149728090;melissa@sanseimoveis.com.br;https://www.instagram.com/sanseicosmeticos/;https://linktr.ee/sanseicosmeticos;melissa;(11) 97220-2853;13;Metropolitada São Paulo;
;TOP COSMETICOS;07.218.342/0001-21;Descoberto;AVENIDA AYRTON SENNA, 101 - SANTA MARIA - OSASCO/SP 06149-201;;SP;trio;11959048419;topcosmeticos7@hotmail.com;https://www.instagram.com/topcosmeticos_santamaria/;NÃO TEM ;fernanda;(11) 95904-8419;13;Metropolitada São Paulo;
;HORA DA BELEZA & SOS LTDA;29.908.439/0001-07;Descoberto;AVENIDA JOSE BRUMATTI, 3289 - JARDIM SANTO EXPEDITO - GUARULHOS/SP 07160-170;;SP;trio;(11) 99019-4242;horadabelezaecosmeticos@gmail.com;https://www.instagram.com/horadabeleza.cosmeticoss/;;cileine;(11) 99019-4242;13;Metropolitada São Paulo;
;LEOA BEAUTY;36.698.576/0001-11;Descoberto;AVENIDA CONSELHEIRO NEBIAS, 756 - BOQUEIRAO - SANTOS/SP 11045-002;;SP;trio ;(15) 99726-4578;contato.leoa@outlook.com;https://www.instagram.com/leoabeautycosmeticos/;não tem ;maria;(15) 99726-4578;13;Metropolitada São Paulo;
;PAMELA BOUTIQUE;37.684.489/0001-78;Descoberto;ESTRADA AGUA CHATA, 323 - PARQUE PIRATININGA - ITAQUAQUECETUBA/SP 08583-370;;SP;trio;11980923685;dalvacosta244@gmail.com;https://www.instagram.com/pamela_boutique302/;;dalva;11980923685;13;Metropolitada São Paulo;
;MARY MAQUIAGENS;38.380.517/0001-26;Descoberto;ESTRADA DE SAO BENTO, 343 - JARDIM ODETE - ITAQUAQUECETUBA/SP 08598-100;;SP;trio ;+55 11 95965-1585;mary.russiano21@gmai.com;https://www.instagram.com/marymaquiagenss/;não tem ;mariana;(11) 95965-1585;13;Metropolitada São Paulo;
;MISS MAKE;39.650.850/0001-70;Descoberto;RUA CAPITAO GABRIEL, 70 - CENTRO - GUARULHOS/SP 07011-010;;SP;TRIO;(16) 99608-0595;lovocastilho@gmail.com;https://www.instagram.com/missmakegru/;NÃO TEM ;edna ou everaldo;(16) 99608-0595;13;Metropolitada São Paulo;
;SWEET MAKE;41.016.147/0001-57;Descoberto;AVENIDA VEREADOR NARCISO YAGUE GUIMARAES 1001, 1001 - JARDIM ARMENIA - MOGI DAS CRUZES/SP 08780-910;;SP;trio;(12) 99636-0046;sweetmakeoficial@gmail.com;https://www.instagram.com/sweetmakemogi/;;THIAGO;(12) 99636-0046;13;Metropolitada São Paulo;
;ESTAÇÃO COSMÉTICOS ;46.099.384/0001-42;Descoberto;RUA CORONEL RAMALHO, 37 - CENTRO - GUARAREMA/SP 08900-000;GUARAREMA;SP;;11 95094-4362;;https://www.instagram.com/estacaocosmeticosoficial/;https://www.estacaocosmeticosoficial.com.br/;CRISTIANE;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;DEISE PERFUMARIA;09.815.360/0001-16;Descoberto;RUA DONA LAURINDA, 500 - CENTRO - GUARAREMA/SP 08900-000;GUARAREMA;SP;;11 974657474;;https://www.instagram.com/deiseperfumariagma/;;DEISE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;ANALU PERFUMARIA E COSMETICOS;46.744.047/0001-60;Descoberto;RUA SANTA CRUZ, 27 - CENTRO - SANTA ISABEL/SP 07500-000;SANTA ISABEL;SP;;1125003389;;https://www.instagram.com/perfumaria.analu/;;LUIZ;(11) 97422-1719;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;BELFACE PERFUMARIA;09.416.053/0001-62;Descoberto;Av. da Republica, 372 - Jardim Monte Serrat, Santa Isabel - SP, 07500-000;SANTA ISABEL;SP;;(11) 4657-8369;;https://www.instagram.com/belface_santa_isabel/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;TOK DE MAGIA;29.772.929/0001-10;Descoberto;AVENIDA DA REPUBLICA, 678 - MONTE SERRAT - SANTA ISABEL/SP 07500-000;SANTA ISABEL;SP;;11963870044;;https://www.instagram.com/tokdemagia/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Lumi Store;07.142.160/0001-14;Descoberto;AVENIDA ANTONIO AFONSO DE LIMA, 458 - VILA FLORA REGINA - ARUJÁ/SP 07400-530;ARUJÁ;SP;;11 97629-3136;;https://www.instagram.com/perfumarialumi/;https://www.lumistore.com.br/;SERGIO / EDSON;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;GLAMOUR COSMETICOS;31.022.508/0001-14;Descoberto;AVENIDA ANTONIO AFONSO DE LIMA, 93 - VILA FLORA REGINA - ARUJÁ/SP 07400-530;ARUJÁ;SP;;11 93085-1114;;https://www.instagram.com/glamour_aruja/;;MARIANA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Meetha Cosméticos;;Descoberto;Rua Pedro Álvares Cabral, 135 - Jd. Maricá - Mogi das Cruzes-SP - 08775-390;Mogi das Cruzes;SP;;(11) 98762-6265;;https://www.instagram.com/meethacosmeticos/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Takra Beauty;61.029.229/0001-43;Descoberto;R. Prof. Flaviano de Melo, 878 - Centro, Mogi das Cruzes - SP, 08710-000;Mogi das Cruzes;SP;; 11 4799-2051;;https://www.instagram.com/takrabeauty/;;MARCELO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;MaxValle Cosméticos;15.390.637/0001-09;Descoberto;RUA FRANCISCO FRANCO - 465 - CENTRO - Mogi das cruzes - SP - 08710-590;Mogi das Cruzes;SP;;(11) 2564-9588;;https://www.instagram.com/maxvallecosmeticos/;https://www.maxvalleshop.com.br/;JOAO;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Perfumaria Sumirê;03.351.098/0001-10;Descoberto;RUA DR. PAULO FRONTIN, 106 - CENTRO - MOGI DAS CRUZES/SP 08710-050;Mogi das Cruzes;SP;;(11) 99740-5609;;https://www.instagram.com/sumiremogi/;;HELIO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;DALUNI PERFUMARIA & COSMETICO ;48.275.800/0001-41;Descoberto;RUA TENENTE MANOEL ALVES DOS ANJOS - 32 - CENTRO - Mogi das cruzes - SP - 08710-680;Mogi das Cruzes;SP;;11933553750;;https://www.instagram.com/daluniperfumaria/;https://lista.mercadolivre.com.br/_CustId_1449416577;DARIO;(11) 97409-1673;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;FIKBELLA PERFUMARIA ;05.889.907/0001-77;Descoberto;RUA HORACE MANLEY LANE, 154 - RAPOSO TAVARES - OSASCO/SP 06149-060;OSASCO;SP;;(11) 99820-2667;;https://www.instagram.com/fikbellaoficial/;https://www.fikbella.com.br/;DANIEL / ALEXANDRE;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;MIMA PERFUMARIA ;51.273.367/0001-10;Descoberto;AVENIDA VOLUNTARIO FERNANDO PINHEIRO FRANCO - 291 - CENTRO - Mogi das cruzes - SP - 08710-500;Mogi das Cruzes;SP;; 11 4794-3804;;https://www.instagram.com/mimaperfumaria/;;MARCELO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;São Bento perfumaria;;Descoberto;Av. Jaguari, 46 - Loja 18 - Cidade Boa Vista, Suzano - SP, 08693-010;Suzano;SP;;(11) 98410-3595;;https://www.instagram.com/sao_bentoperfumaria/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;BELLA MAQUIAGEM;44.983.208/0001-43;Descoberto;R. Gen. Francisco Glicério, 568 - Centro, Suzano - SP, 08674-000;Suzano;SP;;11971350752;;https://www.instagram.com/bellamaquiagemcosmeticos/;https://www.bellamaquiagemcosmeticos.com.br/;BEATRIZ;(11) 94686-5355;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;PERFUMARIA HIROMI SUZANO;43.378.162/0001-70;Descoberto;RUA PRUDENTE DE MORAES, 560 - CENTRO - SUZANO/SP 08674-015;Suzano;SP;;11932760010;;https://www.instagram.com/hiromioficial/;;NANCI / SEIKI;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;AFLORE COSMETICOS;15.294.885/0001-56;Descoberto;PRACA PADRE JOAO ALVARES - 37 - CENTRO - Itaquaquecetuba - SP - 08570-050;Itaquaquecetuba;SP;; 11 98622-2670;;https://www.instagram.com/aflorecosmeticos/;https://www.aflorecosmeticos.com.br/;KEYLA;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;RAIOS DO SOL COSMETICOS;45.828.881/0001-71;Descoberto;Estr. de São Bento, 410 - Jardim Odete, Itaquaquecetuba - SP, 08598-100;Itaquaquecetuba;SP;;11942834555;;https://www.instagram.com/raiosdosolcosmeticos/;;RODRIGO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Ozzi Itaqua;;Descoberto;Estrada dos Índios, 1075 Jardim Amanda Caiuby em Itaquaquecetuba- SP;Itaquaquecetuba;SP;;11 94148-3009;;https://www.instagram.com/ozziitaqua/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Geo Cosmeticos ;69.280.865/0001-55;Descoberto;RUA REPUBLICA DO LIBANO, 40 - CENTRO - OSASCO/SP 06013-060;OSASCO;SP;;11960436282;;https://www.instagram.com/geocosmeticososasco/;;RICARDO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Azzumi Perfumaria;43.046.178/0001-86;Descoberto;AVENIDA ESPERANCA, 74 - CENTRO - GUARULHOS/SP 07095-005;GUARULHOS;SP;;11 48039296;contato@azzumi.com.br;https://www.instagram.com/azzumi.perfumaria/;;LUCAS;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Hora da Beleza e Cosméticos;29.908.439/0001-07;Descoberto;AVENIDA JOSE BRUMATTI, 3289 - JARDIM SANTO EXPEDITO - GUARULHOS/SP 07160-170;GUARULHOS;SP;;(11) 99019-4242;;https://www.instagram.com/horadabeleza.cosmeticoss;;CILEINE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Lolla Perfumery;;Descoberto;Estr. Elenco, 4676 - Jardim Munira, Guarulhos - SP, 07152-755;GUARULHOS;SP;; (11) 94217-0788;;https://www.instagram.com/lollaperfumaria/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;TERUYA PERFUMARIA;33.261.398/0001-79;Descoberto;AVENIDA SILVESTRE PIRES DE FREITAS, 78 - JARDIM PARAISO - GUARULHOS/SP 07144-000;GUARULHOS;SP;;(11) 4378-5075;;https://www.instagram.com/teruyaperfumariaguarulhos/;;ROBERTO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Uehara Lavras;12.881.531/0001-10;Descoberto;Av. José Brumatti, 3596 - Jardim Santo Expedito, Guarulhos - SP, 07160-170;GUARULHOS;SP;;1124690951;priscilaueharaperfumaria@yahoo.com.br;https://www.instagram.com/perfumariaueharalavras/?hl=pt;;PRISCILA / CLAUDIO;(11) 95618-6267;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;YOUMIRE PERFUMARIA;35.700.811/0001-80;Descoberto;Estr. do Sacramento, 988b - Cidade Tupinambá, Guarulhos - SP, 07260-100;GUARULHOS;SP;;1126562133;;https://www.instagram.com/perfumariayoumire/?hl=pt;;MARCELA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Charmes Cosméticos;;Descoberto;R. Dureiha Diná Damiane, 45 - Jardim Gracinda, Guarulhos - SP, 07082-261;GUARULHOS;SP;;11 98736-8611;;https://www.instagram.com/charmescosmeticoseperfumaria/;https://www.charmescosmeticos.com.br/;;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Perfumaria Perola;44.446.165/0001-67;Descoberto;ESTRADA DO SACRAMENTO, 1161 - CIDADE TUPINAMBA - GUARULHOS/SP 07263-000;GUARULHOS;SP;;(11)94886-3811;;https://www.instagram.com/perfumaria_perola_/;;JONATAS;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Mais Divas;22.974.623/0001-06;Descoberto;R. João Gomes - Jardim Adriana, 32,  Guarulhos - SP, 07135-160;GUARULHOS;SP;;(11) 97036- 8503;https://www.instagram.com/inesbezerrada/;https://www.instagram.com/perfumaria_maisdivas2/;;INES;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Mila Makeup Store;;Descoberto;R. Adalberto Belini, 272 - Jardim Bananal, Guarulhos - SP, 07152-440;GUARULHOS;SP;;11949442191;;https://www.instagram.com/milamakeupstoreoficial/;https://shopee.com.br/milamakeupstoreoficial?smtt=0.318957738-1653142947.9;;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Phermas Cosméticos e Perfumaria;50.981.114/0001-38;Descoberto;Av. Cap. Aviador Walter Ribeiro, 400- Cumbica, Guarulhos;GUARULHOS;SP;;11990118752;;https://www.instagram.com/phermascosmeticos;;Evandro;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;MEG'S PERFUMARIA;29.063.291/0001-49;Descoberto;AVENIDA SETE DE SETEMBRO - 1580 - VILA GALVAO - Guarulhos - SP - 07064-000;GUARULHOS;SP;;11 4372-2952;keilakanashiro@gmail.com;https://www.instagram.com/megsperfumaria/;;KEILA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;MIDORY PERFUMARIA;28.325.461/0001-53;Descoberto;AVENIDA VINTE E SEIS DE MARCO, 210 - CENTRO - POÁ/SP 08562-140;POÁ;SP;;1146361476;;https://www.instagram.com/poamidory/;;SIMONE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;YAMASHIRO COSMETICOS;43.174.289/0001-78;Descoberto;RUA MIGUEL PRISCO, 59 - CENTRO - RIBEIRÃO PIRES/SP 09401-000;RIBEIRÃO PIRES;SP;;(11) 4829-4619;;https://www.instagram.com/yamashirocosmeticosribeirao/;;MARCOS;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Helô Cosméticos;21.345.080/0001-97;Descoberto;AVENIDA JOSE MOREIRA - 492 - JARDIM QUARTO CENTENARIO - Mauá - SP - 09341-120;Mauá;SP;;11 96209-1867;;https://www.instagram.com/_helocosmeticos/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Amada Cosméticos e Perfumaria;38.490.161/0001-83;Descoberto;AVENIDA DOM JOSE GASPAR, 1490 A - MATRIZ - MAUÁ/SP 09370-670;Mauá;SP;;(11) 98605-0355;marcelo.menegussi@yahoo.com.br;https://www.instagram.com/amada.cosmeticos/;;MARCELO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;ME.LINDA COSMETICOS E PERFUMARIA;13.393.158/0015-16;Descoberto;AVENIDA GOVERNADOR MARIO COVAS JUNIOR (VL F N MORELLI) - 01 - CENTRO - Mauá - SP - 09390-040;Mauá;SP;;1145188642;;https://www.instagram.com/lojasmelinda/;https://www.melinda.com.br/;EMERSON;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;PERFUMARIA LIDER;10.296.342/0001-54;Descoberto;AVENIDA BARAO DE MAUA, 31 - VILA BOCAINA - MAUÁ/SP 09310-000;Mauá;SP;;(11) 99948-3788;;https://www.instagram.com/lider_perfumaria/;;DIOGO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Belíssima - Cosméticos e Perfumaria;;Descoberto;Av. Itapark, 3352 - Jardim Itapark Velho, Mauá - SP, 09350-000;Mauá;SP;;11981067619;;https://www.instagram.com/belissima_mundomulher/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;PINK COSMÉTICOS E ACESSÓRIOS;31.807.023/0001-36;Descoberto;RUA PRESIDENTE ARTHUR DA COSTA E SILVA, 414 - PARQUE SAO VICENTE - MAUÁ/SP 09371-490;Mauá;SP;;11963253052;;https://www.instagram.com/lojapinkcosmeticos/;;VINICIUS;(11) 99538-4325;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Simony;03.269.033/0001-20;Descoberto;AVENIDA AYRTON SENNA DA SILVA, 510 - VILA SANTA CECILIA - MAUÁ/SP 09380-440;Mauá;SP;;(11) 4544-2577;;https://www.instagram.com/perfumariasimony/;;SIMONE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;PERFUMARIA SINONIMO DE BELEZA;05.283.089/0001-64;Descoberto;R. HAVANA, 14A - PARQUE DAS AMÉRICAS, MAUÁ - SP, 09351-020;Mauá;SP;;11959243816;;https://www.instagram.com/perfumariasinonimo/;;OSLAVDO / KAREN;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;FLOR DE LIS - PERFUMARIA E ACESSORIOS;19.359.976/0001-83;Descoberto;RUA ALFREDO FIGLIA, 25 - JARDIM ITAPEVA - MAUÁ/SP 09330-070;Mauá;SP;;(11) 96456-8088;;https://www.instagram.com/flordelisperfu/;;ANDERSON / DALILA;(11) 97750-2589;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;SANSEI COSMETICOS;35.955.159/0001-44;Descoberto;AVENIDA DOM PEDRO I, 1060 - VILA PIRES - SANTO ANDRÉ/SP 09130-012;SANTO ANDRÉ;SP;;(11) 91476-8918⠀;melissa@sanseimoveis.com.br;https://www.instagram.com/sanseicosmeticossantoandre/;https://www.sanseicosmeticos.com/;MELISSA;(11) 97220-2853;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Charmo Perfumaria;71.811.822/0001-09;Descoberto;RUA SENADOR FLAQUER, 391 - CENTRO - SANTO ANDRÉ/SP 09010-160;SANTO ANDRÉ;SP;;1149944720;;https://www.instagram.com/charmoperfumaria/;;LUIZ / CARLOS;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;LAKISME PERFUMARIA E COSMETICOS;38.094.825/0001-95;Descoberto;AVENIDA QUEIROS FILHO - 781 - VILA AMERICA - Santo andré - SP - 09110-260;SANTO ANDRÉ;SP;;11992464216;;https://www.instagram.com/lakismeperfumaria/;;JULLY;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;D'Aroma Cosméticos & Perfumaria;;Descoberto;Av. Gilda, 378 - Vila Gilda, Santo André - SP, 09190-510;SANTO ANDRÉ;SP;;1144254036;;https://www.instagram.com/daromacosmeticos;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Gloss Cosmeticos Vila Luzita;16.904.025/0001-50;Descoberto;Av. Dom Pedro I, 4101 - Vila Luzita, Santo André - SP, 09130-400;SANTO ANDRÉ;SP;;11961748208;;https://www.instagram.com/glossluzita/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Beka Perfumaria;39.677.991/0001-87;Descoberto;AVENIDA DOM PEDRO I, 3264 - VILA TIBIRICA - SANTO ANDRÉ/SP 09130-400;SANTO ANDRÉ;SP;;(11) 97835-8797;;https://www.instagram.com/bekaperfumaria/;;EDSON;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Vaidosa Perfumaria;17.327.714/0001-01;Descoberto;RUA ORATORIO, 1628 - PARQUE DAS NACOES - SANTO ANDRÉ/SP 09280-000;SANTO ANDRÉ;SP;;11 26778017;;https://www.instagram.com/vaidosa_perfumaria/;;RODRIGO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;FAYCE COSMETICOS  ;00.549.442/0001-91;Descoberto;RUA VISCONDE DE INHAUMA, 655 - NOVA GERTY - SÃO CAETANO DO SUL/SP 09571-390;SÃO CAETANO DO SUL;SP;;11984964557;;https://www.instagram.com/faycecosmeticos;https://faycecosmeticos.com.br/;ROSELI / ROSANA;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
